English	French	Spanish	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian	Tamil	Indonesian	Arabic	Persian	Urdu	Hebrew	Italian	Portuguese	Russian	Ukrainian	Polish	Czech	Dutch	Swedish	Interlingua	Greek	Catalan	Romanian	Vietnamese	Latvian	Lithuanian	Malayalam	Bengali	Thai	Malay	Danish	Norwegian	Icelandic	Croatian	Slovak	Slovene	Swahili	Welsh	Basque	Armenian	Georgian	Khmer	Burmese	Albanian	Afrikaans	Galician	Tagalog	Macedonian	Azerbaijani	Marathi	Nepali	Belarusian	Irish	Lao	Mongolian	Sinhala
super-resolution	super-résolution	superresolución	Superauflösung	超解像	超分辨率	super-rezolucio	सुपर-रिज़ॉल्यूशन	సూపర్-రెజల్యూషన్	ಸೂಪರ್-ರೆಸಲ್ಯೂಶನ್	süper çözünürlük	supererilahuvõime	super-rezolucija	초해상도	superresoluutio	szuperfelbontás	супер-разделителна способност	மீத்தெளிவுத்திறன்	super-resolusi	دقة فائقة	ابر-تفکیک‌پذیری	سپر ریزولیوشن	סופר-רזולוציה	super-risoluzione	super-resolução	суперразрешение	суперроздільна здатність	super-rozdzielczość	superrozlišení	superresolutie	superupplösning	super-resolution	υπερ-ανάλυση	super-resolució	super-rezoluție	siêu phân giải	superrezolūcija	superraiška	സൂപ്പർ-റെസല്യൂഷൻ	সুপার-রেজোলিউশন	ความละเอียดสูงพิเศษ	super-resolusi	superopløsning	superoppløsning	ofurupplausn	super-razlučivost	super-rozlíšenie	super-ločljivost	utatuzi wa juu sana	uwchgydraniad	super-rezoluzioa	գերլուծելիություն	სუპერ-გარჩევადობა	ភាពច្បាស់កម្រិតខ្ពស់បំផុត	အလွန်မြင့်မားသော ကြည်လင်ပြတ်သားမှု	super-rezolucioni	super-resolusie	superresolución	super-resolusyon	супер-резолуција	super-ayrıdlıq	सुपर-रिझोल्यूशन	उच्च-स्पष्टता	супер-развязнігальнасць	super-réltacht	ຄວາມລະອຽດສູງພິເສດ	супер нарийвчлал	සුපිරි-විභේදනය
quantum wave function	fonction d'onde quantique	función de onda cuántica	Quantenwellenfunktion	量子波動関数	量子波函数	kvantuma onda funkcio	क्वांटम तरंग फलन	క్వాంటం తరంగ ప్రమేయం	ಕ್ವಾಂಟಮ್ ತರಂಗ ಉತ್ಪನ್ನ	kuantum dalga fonksiyonu	kvantlainefunktsioon	kvantna talasna funkcija	양자 파동 함수	kvanttiaaltofunktio	kvantum hullámfüggvény	квантова вълнова функция	குவாண்டம் அலை சார்பு	fungsi gelombang kuantum	الدالة الموجية الكمية	تابع موج کوانتومی	کوانٹم ویو فنکشن	פונקציית גל קוונטית	funzione d'onda quantistica	função de onda quântica	квантовая волновая функция	квантова хвильова функція	kwantowa funkcja falowa	kvantová vlnová funkce	quantumgolffunctie	kvantvågfunktion	function de unda quantic	κβαντική συνάρτηση κύματος	funció d'ona quàntica	funcția de undă cuantică	hàm sóng lượng tử	kvantu viļņa funkcija	kvantinė bangos funkcija	ക്വാണ്ടം തരംഗ ഫംഗ്ഷൻ	কোয়ান্টাম তরঙ্গ ফাংশন	ฟังก์ชันคลื่นควอนตัม	fungsi gelombang kuantum	kvantebølgefunktion	kvantebølgefunksjon	skammtabylgjufall	kvantna valna funkcija	kvantová vlnová funkcia	kvantna valovna funkcija	kazi ya wimbi la kwanta	swyddogaeth ton cwantwm	olatu-funtzio kuantikoa	կվանտային ալիքային ֆունկցիա	კვანტური ტალღური ფუნქცია	អនុគមន៍រលកកង់ទុយ	ကွမ်တမ် လှိုင်းဖန်ရှင်	funksioni i valës kuantike	kwantumgolfunksie	función de onda cuántica	punsiyon ng alon ng quantum	квантна бранова функција	kvant dalğa funksiyası	क्वांटम तरंग फलन	क्वान्टम तरङ्ग फलन	квантавая хвалевая функцыя	feidhm thonnta chuantam	ຟັງຊັນຄື້ນຄວອນຕຳ	квант долгионы функц	ක්වොන්ටම් තරංග ශ්‍රිතය
probability wave	onde de probabilité	onda de probabilidad	Wahrscheinlichkeitswelle	確率波	概率波	probabla ondo	प्रायिकता तरंग	సంభావ్యత తరంగం	ಸಂಭವನೀಯತೆ ತರಂಗ	olasılık dalgası	tõenäosuslaine	talas verovatnoće	확률 파동	todennäköisyysaalto	valószínűséghullám	вълна на вероятността	நிகழ்தகவு அலை	gelombang probabilitas	موجة احتمالية	موج احتمال	امکانی لہر	גל הסתברות	onda di probabilità	onda de probabilidade	волна вероятности	хвиля ймовірності	fala prawdopodobieństwa	pravděpodobnostní vlna	waarschijnlijkheidsgolf	sannolikhetsvåg	unda de probabilitate	κύμα πιθανότητας	ona de probabilitat	undă de probabilitate	sóng xác suất	varbūtības viļnis	tikimybės banga	സാധ്യത തരംഗം	সম্ভাবনা তরঙ্গ	คลื่นความน่าจะเป็น	gelombang kebarangkalian	sandsynlighedsbølge	sannsynlighetsbølge	líkubylgja	val vjerojatnosti	pravdepodobnostná vlna	verjetnostni val	wimbi la uwezekano	ton tebygolrwydd	probabilitate-olatua	հավանականության ալիք	ალბათობის ტალღა	រលកប្រូបាប៊ីលីតេ	ဖြစ်နိုင်ခြေလှိုင်း	vala e probabilitetit	waarskynlikheidsgolf	onda de probabilidade	alon ng probabilidad	бран на веројатност	ehtimal dalğası	संभाव्यता लहर	सम्भाव्यता तरङ्ग	хваля імавернасці	tonn dóchúlachta	ຄື້ນຄວາມໜ້າຈະເປັນ	магадлалын долгион	සම්භාවිතා තරංගය
square amplitude	amplitude au carré	amplitud al cuadrado	Quadrat der Amplitude	振幅の二乗	振幅平方	kvadrata amplitudo	वर्ग आयाम	వర్గ విస్తృతి	ವರ್ಗ ವ್ಯಾಪ್ತಿ	genlik karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdónégyzet	квадрат на амплитудата	வர்க்க வீச்சு	amplitudo kuadrat	مربع السعة	مربع دامنه	اسکوائر ایمپلی ٹیوڈ	אמפליטודה בריבוע	ampiezza al quadrato	amplitude ao quadrado	квадрат амплитуды	квадрат амплітуди	kwadrat amplitudy	druhá mocnina amplitudy	amplitude in het kwadraat	amplitudens kvadrat	amplitude quadrato	τετραγωνικό πλάτος	amplitud al quadrat	amplitudine la pătrat	bình phương biên độ	amplitūdas kvadrāts	amplitudės kvadratas	ആംപ്ലിറ്റ്യൂഡിന്റെ വർഗ്ഗം	বর্গ বিস্তার	แอมพลิจูดกำลังสอง	amplitud kuasa dua	kvadratisk amplitude	kvadratamplitude	ferningur stærðar	kvadrat amplitude	druhá mocnina amplitudy	kvadrat amplitude	kipeo cha pili cha amplitudi	ampiltud sgwar	amplitude kuadratua	ամպլիտուդի քառակուսի	ამპლიტუდის კვადრატი	អំព្លីទុយការ៉េ	လှိုင်းအမြင့်၏ နှစ်ထပ်ကိန်း	amplitudë në katror	amplitudekwadraat	amplitude ao quadrado	amplitud na kuwadrado	амплитуда на квадрат	amplitudanın kvadratı	आयामाचा वर्ग	वर्ग आयाम	квадрат амплітуды	amplitúd cearnraithe	ແອມພິຕຸດກຳລັງສອງ	амплитудын квадрат	වර්ග විස්තාරය
classical waves	ondes classiques	ondas clásicas	klassische Wellen	古典的な波	经典波	klasikaj ondoj	शास्त्रीय तरंगें	క్లాసికల్ తరంగాలు	ಸಾಂಪ್ರದಾಯಿಕ ತರಂಗಗಳು	klasik dalgalar	klassikalised lained	klasični talasi	고전적 파동	klassiset aallot	klasszikus hullámok	класически вълни	செவ்வியல் அலைகள்	gelombang klasik	موجات كلاسيكية	موج‌های کلاسیک	کلاسک لہریں	גלים קלאסיים	onde classiche	ondas clássicas	классические волны	класичні хвилі	fale klasyczne	klasické vlny	klassieke golven	klassiska vågor	undas classice	κλασικά κύματα	ones clàssiques	unde clasice	sóng cổ điển	klasiskie viļņi	klasikinės bangos	ക്ലാസിക്കൽ തരംഗങ്ങൾ	ধ্রুপদী তরঙ্গ	คลื่นแบบคลาสสิก	gelombang klasik	klassiske bølger	klassiske bølger	hefðbundnar bylgjur	klasični valovi	klasické vlny	klasični valovi	mawimbi ya kijadi	tonnau glasurol	olatu klasikoak	դասական ալիքներ	კლასიკური ტალღები	រលកបុរាណ	ဂန္ထဝင်လှိုင်းများ	valët klasike	klassieke golwe	ondas clásicas	mga klasikong alon	класични бранови	klassik dalğalar	शास्त्रीय लहरी	शास्त्रीय तरङ्गहरू	класічныя хвалі	tonnta clasaiceacha	ຄື້ນແບບຄລາສສິກ	сонгодог долгионууд	සම්භාව්‍ය තරංග
uncertainty principle	principe d'incertitude	principio de incertidumbre	Unschärferelation	不確定性原理	不确定性原理	necertenca principo	अनिश्चितता सिद्धांत	అనిశ్చితి సూత్రం	ಅನಿಶ್ಚಿತತಾ ತತ್ವ	belirsizlik ilkesi	määramatuse printsiip	princip neodređenosti	불확정성 원리	epätarkkuusperiaate	határozatlansági elv	принцип на неопределеността	நிச்சயமற்ற கொள்கை	prinsip ketidakpastian	مبدأ عدم اليقين	اصل عدم قطعیت	عدم تعین کا اصول	עקרון האי-ודאות	principio di indeterminazione	princípio da incerteza	принцип неопределенности	принцип невизначеності	zasada nieoznaczoności	princip neurčitosti	onzekerheidsprincipe	osäkerhetsprincip	principio de incertiditude	αρχή της αβεβαιότητας	principi d'incertesa	principiul incertitudinii	nguyên lý bất định	nenoteiktības princips	neapibrėžtumo principas	അനിശ്ചിതത്വ തത്വം	অনিশ্চয়তা নীতি	หลักความไม่แน่นอน	prinsip ketidakpastian	usikkerhedsprincippet	usikkerhetsprinsipp	óvissuregla	princip neodređenosti	princíp neurčiteľnosti	načelo nedoločenosti	kanuni ya kutokuwa na uhakika	egwyddor ansicrwydd	ziurgabetasun-printzipioa	անորոշության սկզբունք	განუსაზღვრელობის პრინციპი	គោលការណ៍មិនច្បាស់លាស់	မသေချာမှုနိယာမ	parimi i pasigurisë	onsekerheidsbeginsel	principio de incerteza	prinsipyo ng kawalang-katiyakan	принцип на неопределеност	qeyri-müəyyənlik prinsipi	अनिश्चिततेचे तत्त्व	अनिश्चितता सिद्धान्त	прынцып нявызначанасці	prionsabal neamhchinnteachta	ຫຼັກການຄວາມບໍ່ແນ່ນອນ	тодорхойгүй байдлын зарчим	අවිනිශ්චිතතා මූලධර්මය
diffraction	diffraction	difracción	Beugung	回折	衍射	difrakcio	विवर्तन	వివర్తనం	ವಿವರ್ತನೆ	kırınım	difraktsioon	difrakcija	회절	diffraktio	diffrakció	дифракция	விளிம்பு விளைவு	difraksi	حيود	پراش	ڈِفریکشن	עקיפה	diffrazione	difração	дифракция	дифракція	dyfrakcja	difrakce	diffractie	diffraktion	diffraction	περίθλαση	difracció	difracție	nhiễu xạ	difrakcija	difrakcija	ഡിഫ്രാക്ഷൻ	অপবর্তন	การเลี้ยวเบน	belauan	diffraktion	diffraksjon	ljósbeyging	difrakcija	difrakcia	difrakcija	difrakshoni	diffreithiant	difrakzioa	դիֆրակցիա	დიფრაქცია	ឌីហ្វ្រាក់ស្យុង	အလင်းကွေ့ခြင်း	difraksioni	diffraksie	difracción	difraksiyon	дифракција	difraksiya	विवर्तन	विवर्तन	дыфракцыя	díraonadh	ການເຫຼື້ອມ	дифракц	විවර්තනය
resolution limit	limite de résolution	límite de resolución	Auflösungsgrenze	解像度限界	分辨率极限	rezolucia limo	रिज़ॉल्यूशन सीमा	రెజల్యూషన్ పరిమితి	ರೆಸಲ್ಯೂಶನ್ ಮಿತಿ	çözünürlük limiti	erilahuvõime piir	limit rezolucije	해상도 한계	resoluution raja	felbontási határérték	граница на разделителната способност	தெளிவுத்திறன் எல்லை	batas resolusi	حد الدقة	حد تفکیک‌پذیری	ریزولیوشن کی حد	מגבלת רזולוציה	limite di risoluzione	limite de resolução	предел разрешения	межа роздільної здатності	limit rozdzielczości	limit rozlišení	resolutielimiet	upplösningsgräns	limite de resolution	όριο ανάλυσης	límit de resolució	limită de rezoluție	giới hạn phân giải	izšķirtspējas robeža	skiriamosios gebos riba	റെസല്യൂഷൻ പരിധി	রেজোলিউশন সীমা	ขีดจำกัดความละเอียด	had resolusi	opløsningsgrænse	oppløsningsgrense	upplausnsmörk	granica razlučivosti	limit rozlíšenia	meja ločljivosti	kikomo cha utatuzi	terfyn cydraniad	bereizmen-muga	լուծելիության սահման	გარჩევადობის ზღვარი	ដែនកំណត់នៃភាពច្បាស់	ကြည်လင်ပြတ်သားမှု ကန့်သတ်ချက်	limiti i rezolucionit	resolusielimiet	limite de resolución	limitasyon ng resolusyon	граница на резолуција	ayrıdlıq limiti	रिझोल्यूशन मर्यादा	स्पष्टताको सीमा	мяжа раздзяляльнасці	teorainn taifigh	ຂີດຈຳກັດຄວາມລະອຽດ	нарийвчлалын хязгаар	විභේදන සීමාව
quantum reality	réalité quantique	realidad cuántica	Quantenrealität	量子的現実	量子现实	kvantuma realeco	क्वांटम वास्तविकता	క్వాంటం వాస్తవికత	ಕ್ವಾಂಟಮ್ ವಾಸ್ತವ	kuantum gerçekliği	kvantreaalsus	kvantna stvarnost	양자 실재	kvanttitodellisuus	kvantumvalóság	квантова реалност	குவாண்டம் உண்மை	realitas kuantum	الواقع الكمي	واقعیت کوانتومی	کوانٹم حقیقت	מציאות קוונטית	realtà quantistica	realidade quântica	квантовая реальность	квантова реальність	rzeczywistość kwantowa	kvantová realita	quantumrealiteit	kvantrealitet	realitate quantic	κβαντική πραγματικότητα	realitat quàntica	realitate cuantică	thực tại lượng tử	kvantu realitāte	kvantinė realybė	ക്വാണ്ടം യാഥാർത്ഥ്യം	কোয়ান্টাম বাস্তবতা	ความเป็นจริงทางควอนตัม	realiti kuantum	kvantevirkelighed	kvantevirkelighet	skammtaveruleiki	kvantna stvarnost	kvantová realita	kvantna realnost	uhalisia wa kwanta	realiti cwantwm	errealitate kuantikoa	կվանտային իրականություն	კვანტური რეალობა	តថភាពកង់ទុយ	ကွမ်တမ် လက်တွေ့ဘဝ	realiteti kuantik	kwantumrealiteit	realidade cuántica	realidad na quantum	квантна реалност	kvant reallığı	क्वांटम वास्तव	क्वान्टम वास्तविकता	квантовая рэальнасць	réaltacht chuantam	ຄວາມເປັນຈິງທາງຄວອນຕຳ	квант бодит байдал	ක්වොන්ටම් යථාර්ථය
microscope	microscope	microscopio	Mikroskop	顕微鏡	显微镜	mikroskopo	सूक्ष्मदर्शी	సూక్ష్మదర్శిని	ಸೂಕ್ಷ್ಮದರ್ಶಕ	mikroskop	mikroskoop	mikroskop	현미경	mikroskooppi	mikroszkóp	микроскоп	நுண்ணோக்கி	mikroskop	مجهر	میکروسکوپ	مائیکروسکوپ	מיקרוסקופ	microscopio	microscópio	микроскоп	мікроскоп	mikroskop	mikroskop	microscoop	mikroskop	microscopio	μικροσκόπιο	microscopi	microscop	kính hiển vi	mikroskops	mikroskopas	മൈക്രോസ്കോപ്പ്	অণুবীক্ষণ যন্ত্র	กล้องจุลทรรศน์	mikroskop	mikroskop	mikroskop	smásjón	mikroskop	mikroskop	mikroskop	hadubini	microsgop	mikroskopioa	միկրոսկոպ	მიკროსკოპი	មីក្រូសកុប	အဏုကြည့်မှန်ပြောင်း	mikroskopi	mikroskoop	microscopio	mikroskopyo	микроскоп	mikroskop	सूक्ष्मदर्शकयंत्र	सूक्ष्मदर्शी	мікраскоп	micrascóip	ກ້ອງຈຸລະທັດ	микроскоп	අන්වීක්ෂය
laws of waves	lois des ondes	leyes de las ondas	Wellengesetze	波の法則	波动定律	leĝoj de ondoj	तरंगों के नियम	తరంగాల నియమాలు	ತರಂಗಗಳ ನಿಯಮಗಳು	dalga yasaları	lainete seadused	zakoni talasa	파동의 법칙	aaltolait	hullámtörvények	закони на вълните	அலைகளின் விதிகள்	hukum gelombang	قوانين الموجات	قوانین موج‌ها	لہروں کے قوانین	חוקי גלים	leggi delle onde	leis das ondas	законы волн	закони хвиль	prawa fal	zákony vln	golfwetten	våglagar	legos de undas	νόμοι των κυμάτων	lleis de les ones	legile undelor	các định luật về sóng	viļņu likumi	bangų dėsniai	തരംഗ നിയമങ്ങൾ	তরঙ্গের সূত্রসমূহ	กฎของคลื่น	hukum-hukum gelombang	bølgelove	bølgelover	bylgjulög	zakoni valova	zákony vĺn	zakoni valov	sheria za mawimbi	deddfau tonnau	olatuen legeak	ալիքների օրենքներ	ტალღების კანონები	ច្បាប់នៃរលក	လှိုင်းဆိုင်ရာ နိယာမများ	ligjet e valëve	wette van golwe	leis das ondas	mga batas ng mga alon	закони на брановите	dalğa qanunları	लहरींचे नियम	तरङ्गका नियमहरू	законы хваль	dlíthe na tonnta	ກົດຂອງຄື້ນ	долгионы хуулиуд	තරංග නියම
classical mechanics	mécanique classique	mecánica clásica	klassische Mechanik	古典力学	经典力学	klasika mekaniko	शास्त्रीय यांत्रिकी	క్లాసికల్ మెకానిక్స్	ಸಾಂಪ್ರದಾಯಿಕ ಯಾಂತ್ರಿಕಶಾಸ್ತ್ರ	klasik mekanik	klassikaline mehaanika	klasična mehanika	고전 역학	klassinen mekaniikka	klasszikus mechanika	класическа механика	செவ்வியல் இயக்கவியல்	mekanika klasik	الميكانيكا الكلاسيكية	مکانیک کلاسیک	کلاسک میکانکس	מכניקה קלאסית	meccanica classica	mecânica clássica	классическая механика	класична механіка	mechanika klasyczna	klasická mechanika	klassieke mechanica	klassisk mekanik	mechanica classice	κλασική μηχανική	mecànica clàssica	mecanică clasică	cơ học cổ điển	klasiskā mehānika	klasikinė mechanika	ക്ലാസിക്കൽ മെക്കാനിക്സ്	ধ্রুপদী বলবিদ্যা	กลศาสตร์คลาสสิก	mekanik klasik	klassisk mekanik	klassisk mekanikk	hefðbundin vélfræði	klasična mehanika	klasická mechanika	klasična mehanika	mekanika ya kijadi	mecaneg glasurol	mekanika klasikoa	դասական մեխանիկա	კლასიკური მექანიკა	មេកានិចបុរាណ	ဂန္ထဝင် မကင်းနစ်	mekanika klasike	klassieke meganika	mecánica clásica	klasikong mekanika	класична механика	klassik mexanika	शास्त्रीय यांत्रिकी	शास्त्रीय यान्त्रिकी	класічная механіка	meicníocs chlasaiceach	ກົນລະສາດແບບຄລາສສິກ	сонгодог механик	සම්භාව්‍ය යාන්ත්‍ර විද්‍යාව
square of the amplitude	carré de l'amplitude	cuadrado de la amplitud	Quadrat der Amplitude	振幅の二乗	振幅的平方	kvadrato de la amplitudo	आयाम का वर्ग	విస్తృతి యొక్క వర్గం	ವ್ಯಾಪ್ತಿಯ ವರ್ಗ	genliğin karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdó négyzete	квадрат на амплитудата	வீச்சின் வர்க்கம்	kuadrat amplitudo	مربع السعة	مربع دامنه	ایمپلی ٹیوڈ کا مربع	ריבוע האמפליטודה	quadrato dell'ampiezza	quadrado da amplitude	квадрат амплитуды	квадрат амплітуди	kwadrat amplitudy	druhá mocnina amplitudy	kwadraat van de amplitude	amplitudens kvadrat	quadrato del amplitude	τετράγωνο του πλάτους	quadrat de l'amplitud	pătratul amplitudinii	bình phương của biên độ	amplitūdas kvadrāts	amplitudės kvadratas	ആംപ്ലിറ്റ്യൂഡിന്റെ വർഗ്ഗം	বিস্তারের বর্গ	กำลังสองของแอมพลิจูด	kuasa dua amplitud	amplitudens kvadrat	kvadratet av amplituden	ferningur stærðarinnar	kvadrat amplitude	druhá mocnina amplitudy	kvadrat amplitude	kipeo cha pili cha amplitudi	sgwar yr ampiltud	amplitudearen kuadratua	ամպլիտուդի քառակուսի	ამპლიტუდის კვადრატი	ការ៉េនៃអំព្លីទុយ	လှိုင်းအမြင့်၏ နှစ်ထပ်ကိန်း	katrori i amplitudës	kwadraat van die amplitude	cadrado da amplitude	kuwadrado ng amplitude	квадрат на амплитудата	amplitudanın kvadratı	आयामाचा वर्ग	आयामको वर्ग	квадрат амплітуды	cearnra na amplitúide	ກຳລັງສອງຂອງແອມພິຕຸດ	амплитудын квадрат	විස්තාරයේ වර්ගය
physical quantity	grandeur physique	magnitud física	physikalische Größe	物理量	物理量	fizika kvantumo	भौतिक राशि	భౌతిక రాశి	ಭೌತಿಕ ಪ್ರಮಾಣ	fiziksel nicelik	füüsikaline suurus	fizička veličina	물리량	fyysinen suure	fizikai mennyiség	физична величина	இயற்பியல் அளவு	besaran fisik	كمية فيزيائية	کمیت فیزیکی	طبیعی مقدار	גודל פיזיקלי	grandezza fisica	grandeza física	физическая величина	фізична величина	wielkość fizyczna	fyzikální veličina	fysische grootheid	fysikalisk storhet	quantitate physice	φυσικό μέγεθος	magnitud física	mărimă fizică	đại lượng vật lý	fizikālais lielums	fizikinis dydis	ഭൗതിക അളവ്	ভৌত রাশি	ปริมาณทางฟิสิกส์	kuantiti fizik	fysisk størrelse	fysisk størrelse	eðlisfræðileg stærð	fizička veličina	fyzikálna veličina	fizikalna količina	kiwango cha kifizikia	maint ffisegol	fisiko-kantitatea	ֆիզիկական մեծություն	ფიზიკური სიდიდე	បរិមាណរូបវិទ្យា	ရူပဗေဒဆိုင်ရာ ပမာဏ	madhësi fizike	fisiese grootheid	cantidade física	pisikal na kantidad	физичка величина	fiziki kəmiyyət	भौतिक राशी	भौतिक परिमाण	фізічная велічыня	méid fisiciúil	ປະລິມານທາງຟີຊິກ	физик хэмжээ	භෞතික රාශිය
